department,cgpa,aptitudeScore,communicationScore,internshipExperience,certifications,skillsCount,placed,package
MECH,8.88,63,67,2,0,5,1,13.32
CIVIL,8.41,75,58,0,1,4,1,8.79
EEE,7.23,85,79,0,1,3,1,6.55
CIVIL,7.63,98,72,2,1,3,1,9.02
CIVIL,7.5,69,53,1,0,5,1,8.4
ECE,7.38,82,57,0,3,6,1,10.07
EEE,7.44,85,87,0,0,3,1,7.18
EEE,7.41,62,93,0,2,2,1,7.37
EEE,7.37,93,78,1,3,4,1,9.37
CIVIL,8.66,59,66,1,1,7,1,11.23
MECH,6.85,81,63,0,1,2,0,6.34
EEE,7.14,75,78,1,3,6,1,11.02
IT,6.37,72,71,1,0,4,0,7.2
CIVIL,9.07,100,45,1,1,1,1,10.57
ECE,7.08,68,85,1,1,3,1,8.05
MECH,8.39,68,90,1,0,5,1,9.59
IT,8.23,87,81,0,2,8,1,9.41
IT,8.99,81,53,2,2,1,1,12.52
ECE,7.61,87,60,0,2,1,1,7.73
MECH,6.95,73,42,0,0,1,0,5.5
CIVIL,6.4,75,93,0,0,6,1,4.81
CSE,5.29,94,64,0,1,1,0,3.0
MECH,7.95,61,100,0,0,7,1,8.82
ECE,8.5,70,99,0,1,6,1,9.04
IT,8.22,81,56,1,1,4,1,9.94
CIVIL,6.42,69,59,0,1,3,1,5.66
MECH,8.73,65,76,1,1,4,1,11.78
CSE,7.17,79,43,0,1,5,0,6.65
CSE,6.98,88,63,2,0,5,1,10.67
EEE,7.15,70,61,1,0,7,1,8.97
EEE,7.87,69,97,0,1,3,0,5.96
ECE,6.46,64,72,1,1,1,0,6.1
MECH,7.77,68,65,1,2,1,1,8.43
MECH,8.19,85,60,1,2,1,0,10.3
IT,8.8,72,83,1,3,4,1,12.64
IT,7.96,62,62,1,0,4,1,9.13
IT,6.59,75,69,1,0,4,0,6.79
EEE,7.93,84,60,0,0,3,1,5.99
MECH,6.85,65,47,0,1,2,0,6.62
MECH,6.79,56,55,1,1,5,1,7.32
CSE,6.57,98,62,0,2,1,0,5.61
EEE,6.08,55,66,0,1,2,0,6.69
CIVIL,7.29,67,66,0,3,6,1,8.23
EEE,8.82,74,68,0,3,2,1,8.26
CIVIL,9.83,68,62,3,0,5,1,13.58
CSE,7.28,71,90,0,1,2,1,8.16
ECE,8.78,78,84,0,1,3,1,8.61
MECH,7.44,43,67,1,0,5,0,7.84
CSE,6.31,56,73,1,1,1,0,6.43
MECH,8.43,72,64,0,1,5,1,7.99
IT,8.01,67,40,0,0,4,0,5.62
ECE,9.44,73,70,2,1,7,1,14.55
ECE,6.42,74,74,1,1,4,1,7.63
CSE,10.0,46,45,0,0,2,1,9.46
ECE,9.23,87,77,0,1,7,1,10.08
CIVIL,7.78,66,65,0,0,2,0,6.35
ECE,7.53,61,75,0,1,4,1,5.35
MECH,7.16,74,66,0,0,6,1,7.41
MECH,7.9,73,88,2,2,1,1,10.01
MECH,7.63,86,73,0,1,7,1,7.5
MECH,8.26,75,85,1,0,2,1,8.19
CIVIL,7.54,85,86,0,1,3,1,5.2
EEE,9.07,60,53,1,1,5,1,10.62
IT,7.91,73,58,1,1,4,1,8.87
CSE,7.57,58,76,0,1,6,1,7.48
MECH,8.72,73,64,1,1,1,1,8.11
ECE,6.34,70,66,0,0,5,0,6.15
MECH,8.11,70,89,2,0,6,1,11.75
ECE,7.82,70,65,2,1,6,1,11.0
IT,6.53,80,55,0,1,1,0,4.57
IT,6.26,52,57,0,0,1,0,4.79
IT,8.71,61,100,0,2,3,1,8.65
ECE,8.67,71,67,1,0,1,1,7.81
MECH,7.96,57,49,0,2,1,0,7.28
IT,9.34,72,43,0,0,3,1,7.54
CIVIL,8.2,71,60,0,0,4,1,6.77
ECE,8.92,55,67,0,3,10,1,11.77
ECE,8.18,54,84,1,0,5,1,10.26
MECH,7.55,40,82,0,2,8,0,10.58
ECE,6.85,57,69,1,0,4,1,8.61
ECE,7.26,72,63,0,1,5,1,7.05
IT,7.57,73,75,0,2,4,1,9.59
